block,scenario,n_inst,tier_used,mean_heur_profit,std_heur_profit,mean_greedy_profit,std_greedy_profit,mean_ub_profit,n_heur_opt_match,mean_gap_to_opt_pct,std_gap_to_opt_pct,mean_gap_to_opt_greedy_pct,std_gap_to_opt_greedy_pct,mean_gap_to_ub_pct,std_gap_to_ub_pct,mean_gap_to_ub_greedy_pct,std_gap_to_ub_greedy_pct,mean_share_vs_greedy_pct,std_share_vs_greedy_pct,mean_heur_minus_greedy,std_heur_minus_greedy,mean_heur_runtime_s,mean_heur_accept_rate_pct,mean_heur_upgrade_rate_pct
A,S1_baseline,25,1,26056.0,16489.493624729657,8956.0,22056.31202173201,41572.0,25,0.0,0.0,12.053169473810417,8.860177889235608,9.902546871081306,6.934767042698725,20.557181931114133,11.347807420560793,53.030625477951865,22.850411064395814,17100.0,14014.902782395602,0.01207901954650873,77.55555555555556,19.53791698497581
A,S2_skewed_levels,25,1,35248.0,8749.862856068088,21904.0,15222.118774993185,43156.0,25,0.0,0.0,10.065507006854595,9.02247375768176,6.003675171988615,4.458406289367671,15.365850202641868,10.19973911447938,53.577980616035205,27.945818866659717,13344.0,14459.284214649078,0.013433523178100535,83.33333333333333,36.36404151404152
A,S3_imbalanced_flow,25,1,28672.0,14410.948384243604,6268.0,14906.674120451327,43096.0,25,0.0,0.0,14.941000307175914,7.415645210085225,8.564680993974834,6.416292311159879,22.18149641182663,8.947105778602241,61.31790799939618,20.75431415705797,22404.0,12406.768314109842,0.01061609268188472,76.0,16.27297408473879
A,S4_high_demand,25,1,19300.0,15031.633311120917,-17792.0,22587.91933755741,50932.0,25,0.0,0.0,18.16006324331864,7.625156615910187,13.337661427151618,4.5941792236921,29.071895543766104,7.602947138430934,52.86125257313401,14.926535019654677,37092.0,17530.30518844438,0.02168875694274897,62.0,19.629228607052003
B,M1_baseline,25,2,-22836.0,76261.05318793685,-293052.0,80369.4185205625,450216.0,0,,,,,27.159715848097076,2.1696766318611957,42.704383796605256,3.6883672370536256,36.14243478280041,5.4721444154503205,270216.0,57256.431079835915,0.0023313617706298482,42.099999999999994,13.288872733561345
B,M2_skewed_levels,25,2,49440.0,43198.138462978546,-130680.0,48023.3970754534,429456.0,0,,,,,26.47212997882975,2.5699978005423763,39.07950921279068,3.293841868324,31.78581028090404,9.22934364730716,180120.0,59536.83733622403,0.00212315559387204,43.86,34.739079608161724
B,M3_imbalanced_flow,25,2,-33816.0,67272.43541500982,-393840.0,100135.31678017834,456644.0,0,,,,,28.076687024440826,4.2620344501096135,48.7559828120445,5.260426033190782,42.23594454124784,7.352015545807737,360024.0,77595.96896746634,0.002057275772094692,40.46,11.206781105001353
B,M4_high_demand,25,2,-492432.0,88105.84884103893,-809676.0,74413.04925884976,166779.0,0,,,,,31.60867470063468,1.838783546551738,46.82320181768909,2.75362275794087,32.3866314975243,3.7958496724076496,317244.0,49337.84956805475,0.0022900104522704757,28.65333333333333,9.543738054040295
C,L1_baseline,15,3,-17843153.333333332,521013.3215553085,-18959373.333333332,488536.7956118215,1656141.6666666672,0,,,,,41.930942095894046,0.4898190792344182,44.33114221793151,0.4939735798035493,5.409855156122683,0.999376806531024,1116220.0,211670.7659145616,0.03375252087910967,41.33333333333332,23.896742491452063
C,L2_skewed_levels,15,3,-10710946.666666666,345222.1890457272,-11758406.666666666,340309.75064043107,4822363.333333333,0,,,,,38.886778170103206,0.3740433730469646,41.508670202380706,0.40606082994540693,6.314333105533221,0.6359933784244621,1047460.0,111386.82789527417,0.027542146046956338,41.52666666666667,40.792002181396
C,L3_imbalanced_flow,15,3,-21645913.333333332,479745.6079850574,-23067673.333333332,428727.02348541864,1679595.3333333333,0,,,,,50.12736857800918,0.8955692335021442,53.18292186695718,0.880855687829658,5.736194215635615,1.4889039453835033,1421760.0,381170.60072511213,0.03605429331461584,34.59047619047619,17.89517552478018
C,L4_high_demand,15,3,-35598793.333333336,766976.7844006256,-37344933.333333336,714183.4364870002,-17112313.333333332,0,,,,,39.1671980060572,0.5484432504029094,42.86679123589676,0.5029444893960383,8.629399067521211,0.8324375836116548,1746140.0,170579.47791488367,0.04437753359476721,29.465999999999998,24.61608534025293
